Name,ADP,RW_Rank,Total_Pts,Total_Events,RD_Rank_Avg,RD 1 Pts,RD1 #,RD1 Rank,RD2 Pts,RD2 #,RD2 Rank,RD3 Pts,RD3 #,RD3 Rank,RD4 Pts,RD4 #,RD4 Rank,Sony,Amex,Farmers,Phoenix,Pebble,Genesis,Cognizant,API,Players,Valspar,Houston,Valero,Masters,Heritage,Miami,Truist,PGA,CJ Cup,Schwab,Memorial,Canadian,US Open,Travelers,Deere,Scottish,Open
Ben Griffin,2.4,2,"1,929.80",19,11,578,5,9,499.3,5,3,454.6,5,4,397.9,4,7,113.9,127.1,-,-,125.5,96.6,114.9,86.4,104.8,-,108.8,-,81.4,117.9,87.6,99.5,100.7,-,89.5,77.3,-,76.3,123.3,122,-,76.3
Scottie Scheffler,1,1,"2,053.00",16,19,587.5,4,5,630.5,5,1,491.1,4,2,343.9,3,31,-,162.8,-,149.8,151.1,123.8,-,110.7,134.2,-,139.4,-,104.2,142,105.5,-,129,157.6,-,99,-,97.7,148.5,-,-,97.7
J.J. Spaun,9,9,"1,724.20",18,31,530,5,18,380.5,4,36,441.2,5,5,372.5,4,11,112.2,-,90.2,-,119.2,95.2,113.2,85.2,103.2,-,-,-,80.1,112,83.2,94.5,99.2,-,88.2,76.1,-,75.1,117.1,-,105.2,75.1
Cameron Young,8.7,7,"1,739.10",18,37,443.7,4,51,461.5,5,10,348,4,22,485.9,5,2,-,120.7,-,111.1,120.1,91.8,-,82.1,99.5,89.8,-,-,77.3,112.8,83.8,95.2,95.6,-,-,73.4,107.2,72.4,118,115.9,-,72.4
Si Woo Kim,4.4,4,"1,777.30",19,40,522.6,5,19,450.4,5,13,524.5,6,1,279.8,3,52,101,112.7,-,103.7,119.5,85.7,-,76.6,92.9,-,96.5,-,72.1,112.3,83.5,94.8,89.3,109.1,79.3,68.5,-,-,117.5,-,94.7,67.6
Sam Burns,3.6,3,"1,646.50",17,41,441,4,55,458.5,5,12,378.7,4,14,368.3,4,15,-,119.2,-,109.6,121.6,90.6,-,81,98.2,88.7,-,-,76.3,114.3,-,96.5,94.4,115.3,-,72.5,105.8,71.5,119.5,-,-,71.5
Robert MacIntyre,5.2,6,"1,548.00",16,46,448.3,4,46,377.7,4,37,351.9,4,17,370.1,4,13,110.8,123.6,-,-,119.9,94,-,84.1,101.9,-,-,-,79.1,112.6,83.7,95.1,97.9,-,-,75.2,-,74.2,117.8,-,103.9,74.2
Xander Schauffele,7.1,5,"1,605.50",16,47,446.4,4,47,492.3,5,6,280,3,46,386.8,4,9,-,130.6,94,-,122.6,99.2,-,88.8,107.6,97.1,-,-,83.6,115.2,-,97.2,103.4,-,-,79.4,-,78.3,120.5,-,109.7,78.3
Sungjae Im,12.3,13,"1,655.70",19,47,571.2,6,11,334.9,4,59,318.9,4,36,430.7,5,6,-,106.2,76.5,97.7,114.1,80.7,96,72.2,87.5,-,-,-,68,107.2,79.7,90.5,84.1,-,-,64.6,-,63.7,112.1,102,89.2,63.7
Maverick McNealy,24.7,20,"1,651.20",18,49,506.8,5,25,446,5,18,341.7,4,27,356.7,4,21,105.8,-,85,108.6,117.7,89.7,-,80.3,97.3,-,-,82.2,75.6,110.6,-,93.3,93.5,-,83.1,71.8,-,70.9,115.7,-,99.2,70.9
Sepp Straka,11.8,11,"1,635.00",18,57,426.3,4,63,521.6,6,2,335.6,4,28,351.5,4,26,-,113.5,-,104.5,122,86.3,-,77.2,93.6,84.5,-,79,72.7,114.6,-,96.8,89.9,-,79.9,69,-,68.1,119.9,-,95.4,68.1
Michael Kim,7.2,8,"1,577.20",17,57,594.4,6,3,346.1,4,50,324.4,4,34,312.3,3,45,100.6,112.3,80.8,103.3,112.1,85.3,-,76.3,92.5,-,-,-,71.9,105.4,78.3,88.9,88.9,-,-,68.3,-,-,110.2,107.8,94.3,-
Jacob Bridgeman,25.6,31,"1,615.20",19,66,552.5,6,16,402.3,5,32,328.3,4,30,332.1,4,39,92.4,103.1,74.2,-,111.2,78.4,93.2,70.1,85,76.7,-,-,66,104.5,77.6,88.2,-,99.8,-,62.7,-,61.9,109.3,99,-,61.9
Brian Harman,30.1,36,"1,616.90",18,66,518.3,5,20,428.1,5,26,328.2,4,31,342.3,4,33,101.5,113.3,-,104.3,113.1,86.1,-,77.1,93.4,-,-,78.9,72.5,106.2,-,89.7,89.8,-,79.8,68.9,-,68,111.1,-,95.2,68
Nick Taylor,20.9,23,"1,529.00",17,67,510,5,23,344.7,4,51,237.9,3,66,436.4,5,5,99.1,110.6,-,101.8,114.4,84.1,-,75.2,91.2,-,-,-,70.8,107.5,79.9,90.7,-,-,-,67.3,98.3,66.4,112.4,-,92.9,66.4
Aaron Rai,34.7,34,"1,536.00",16,72,536.8,5,17,359,4,45,288.7,3,44,351.5,4,27,105,117.2,-,107.8,117.8,89,-,-,96.5,87.2,100.3,-,75,-,-,-,92.8,113.4,82.5,-,-,70.3,-,112.5,98.4,70.3
Samuel Stevens,16.2,19,"1,550.90",17,73,574.8,6,10,428.3,5,25,335.3,4,29,212.5,2,76,96.8,108.1,77.8,99.4,110.6,82.1,-,73.5,89.1,-,92.5,-,69.2,104,77.3,87.7,-,104.6,-,65.7,-,-,108.7,103.8,-,-
Tommy Fleetwood,14.1,10,"1,558.90",16,73,222,2,149,492.2,5,7,457.7,5,3,387,4,8,-,-,-,-,122.9,99.1,-,88.7,107.5,97,-,-,83.5,115.5,85.8,97.5,103.3,-,91.8,79.3,-,78.3,120.8,-,109.6,78.3
Corey Conners,20.6,21,"1,557.80",17,75,413.9,4,75,437.4,5,21,253.9,3,61,452.6,5,4,103.6,-,-,106.4,116,87.9,-,78.6,95.3,-,-,80.5,74,109,-,92,91.6,-,-,70.3,102.7,69.4,114,-,97.1,69.4
Denny McCarthy,38,32,"1,503.40",16,79,506.7,5,26,355.1,4,47,326.9,4,32,314.7,3,44,101.4,-,-,104.1,112.9,86,102.3,77,93.2,-,-,78.8,-,106.1,78.9,89.6,89.6,-,-,68.8,-,-,111,108.6,95.1,-
Alex Noren,44.4,50,"1,564.70",17,82,433.4,4,60,431.4,5,23,343.3,4,26,356.6,4,22,-,116.7,-,107.4,120.6,88.7,-,79.4,96.2,-,99.9,81.2,74.7,-,84.2,95.6,92.5,-,-,71,-,70,118.5,-,98.1,70
Hideki Matsuyama,20.8,18,"1,446.50",16,83,508.2,5,24,333.8,4,62,344.8,4,25,259.7,3,67,105.3,-,84.6,108.2,120.8,89.3,-,79.9,96.9,-,-,81.8,75.2,-,84.4,95.8,93.1,-,-,71.5,-,70.5,118.7,-,-,70.5
Ludvig Aberg,14.6,14,"1,525.90",16,84,305.8,3,130,466.7,5,9,270.6,3,48,482.8,5,3,-,-,89,-,122.8,94,-,84.1,101.9,-,-,86.1,79.2,115.4,-,97.4,98,-,-,75.2,109.8,74.2,120.7,-,103.9,74.2
Kurt Kitayama,48.3,38,"1,592.30",17,84,407.9,4,81,447.1,5,16,417,5,8,320.3,3,42,98.7,-,-,101.4,124.1,83.7,-,74.9,90.8,-,94.3,-,70.5,116.6,86.7,98.4,87.3,-,77.6,67,-,-,122,105.8,92.5,-
Nico Echavarria,31.1,27,"1,421.80",15,86,607.9,6,2,339.5,4,53,181.9,2,72,292.5,3,49,97.5,108.8,-,100.1,120.4,82.7,98.4,-,89.7,81,93.1,75.7,-,-,-,-,-,105.3,76.6,-,96.6,-,-,104.5,91.4,-
Taylor Pendrith,19.4,17,"1,511.20",16,87,384.7,4,98,376.1,4,38,440.9,5,6,309.5,3,47,101.4,-,81.5,-,115.8,86,-,77,93.3,-,96.9,-,-,108.9,80.9,91.9,89.7,109.6,-,68.8,100.5,-,113.9,-,95.1,-
Rory McIlroy,12.3,12,"1,537.20",14,90,242.4,2,147,430.8,4,24,312.5,3,40,551.5,5,1,-,-,-,-,133.3,109.1,-,97.7,118.3,-,122.9,-,91.9,-,93.1,105.7,113.7,-,-,-,127.5,86.2,131,-,120.6,86.2
J.T. Poston,28.8,24,"1,471.00",16,93,413.4,4,76,436.2,5,22,403.5,5,11,217.9,2,75,0,112.6,-,103.5,111.8,85.5,-,76.5,92.7,83.7,-,78.3,-,105,78.1,88.7,89.1,-,79.2,68.4,-,-,109.9,108,-,-
Jordan Spieth,12.4,16,"1,550.90",17,95,512.9,5,22,440.3,5,19,433.9,5,7,163.8,2,136,101.9,-,-,104.7,117.1,86.4,102.8,-,93.7,84.6,-,79.2,72.8,110,81.7,92.8,-,110.1,80.1,69.2,-,-,-,-,95.5,68.3
Akshay Bhatia,46.8,35,"1,505.20",17,96,416.9,4,71,427.5,5,27,410.9,5,10,249.9,3,68,-,111.4,-,102.5,118.4,84.6,-,75.7,91.8,-,-,77.5,71.3,111.2,82.7,93.9,88.2,-,78.4,67.7,-,66.8,116.3,-,-,66.8
Billy Horschel,54.8,46,"1,457.40",16,96,517.6,5,21,358.5,4,46,308.8,4,42,272.5,3,59,95.5,106.6,-,98,121.2,-,96.3,-,-,79.3,91.2,74.2,-,113.8,84.6,-,84.4,-,75,64.8,-,-,119.1,-,89.5,63.9
Rico Hoey,23.4,22,"1,405.50",15,100,685.1,7,1,338.5,4,55,181.4,2,74,200.5,2,80,97.2,108.5,78.1,99.8,120.9,82.5,98.1,-,89.4,80.7,92.9,75.5,-,-,-,-,-,105,76.4,-,96.3,-,-,104.2,-,-
Daniel Berger,63.7,72,"1,556.40",17,103,502.1,5,29,438.5,5,20,414.9,5,9,200.9,2,78,98,109.4,-,100.6,111,83.1,-,74.4,90.1,-,93.6,76.1,-,104.3,77.5,88,-,105.9,77,66.5,-,-,109,-,91.9,-
Harry Hall,15.7,15,"1,330.60",15,104,305.5,3,131,352.7,4,48,326.1,4,33,346.3,4,30,100.2,-,-,-,120.3,85,-,76,92.1,-,-,-,71.6,113,84,95.4,-,-,78.7,68,-,67.1,118.2,-,93.9,67.1
Matt Fitzpatrick,34.1,29,"1,308.50",14,106,213.3,2,154,376,4,39,350.8,4,20,368.4,4,14,-,-,-,-,119.9,93.4,-,83.5,101.2,-,-,-,78.6,112.7,83.7,95.1,97.3,-,-,74.7,-,73.7,117.8,-,103.2,73.7
Collin Morikawa,35.1,40,"1,397.10",15,106,318.7,3,128,369.4,4,42,346.7,4,23,362.3,4,18,106.6,-,-,-,121.7,90.4,-,80.9,98,-,-,-,76.1,114.4,-,96.5,94.2,-,83.7,72.3,-,71.4,119.6,-,99.9,71.4
Andrew Novak,37.4,42,"1,497.30",18,106,273.1,3,140,495.9,6,4,396.1,5,12,332.2,4,38,-,-,78.5,-,111.7,82.9,-,74.2,89.9,81.1,-,75.9,69.8,105,78,88.6,86.4,-,76.8,66.3,-,65.4,109.8,-,91.6,65.4
Chris Gotterup,44.8,39,"1,373.40",15,110,313,3,129,360.7,4,44,345.4,4,24,354.3,4,25,101.6,-,-,-,125.2,86.2,-,77.1,93.4,-,-,-,72.6,117.6,87.4,99.3,89.8,-,-,68.9,-,68,123,-,95.3,68
John Keefer,41.2,51,"1,401.10",16,111,474.4,5,37,401.9,5,33,263.2,3,57,261.6,3,65,95.7,106.9,76.9,98.3,-,-,96.6,-,88.1,79.5,91.5,74.4,68.4,-,-,-,84.6,103.4,75.2,-,94.9,64.1,-,102.6,-,-
Russell Henley,29.4,28,"1,360.00",14,112,334.3,3,125,388.7,4,34,362.7,4,16,274.3,3,57,113.9,-,-,-,123.8,96.6,-,86.4,104.7,-,-,-,81.3,116.3,86.5,98.2,100.7,-,-,77.3,-,76.3,121.7,-,-,76.3
Harris English,59.6,72,"1,420.60",15,112,419.9,4,66,372,4,41,264.2,3,54,364.5,4,17,-,121.4,87.4,-,118.8,92.3,-,82.6,100.1,-,-,-,77.7,111.6,-,94.2,96.2,-,-,73.8,-,72.9,116.7,-,102,72.9
Patrick Cantlay,32.7,26,"1,306.80",14,114,415.1,4,72,368,4,43,262.1,3,58,261.6,3,66,-,118.3,85.2,-,121.7,89.9,-,80.5,97.5,-,-,-,75.7,114.3,-,96.5,93.7,-,-,71.9,-,71,119.6,-,-,71
Michael Brennan,22,25,"1,261.00",14,114,475.8,5,35,323.2,4,72,264,3,55,198,2,82,96,107.2,77.1,98.6,-,-,96.9,-,88.3,-,91.7,74.6,68.6,-,-,-,84.9,103.7,75.4,-,95.1,-,-,102.9,-,-
Ryan Gerard,29.4,33,"1,546.80",18,114,560.3,6,13,492.3,6,5,385.7,5,13,108.5,1,164,94.2,105.1,75.7,-,110.4,79.9,95,71.5,86.6,-,90,73.2,67.3,103.7,77.1,87.5,83.2,-,74,63.9,-,-,108.5,-,-,-
Keegan Bradley,49.6,43,"1,396.90",15,114,409.3,4,80,458.8,5,11,265.4,3,53,263.4,3,64,109.5,-,88,-,118.9,92.9,-,83.1,100.7,-,-,85.1,78.2,111.7,-,94.3,96.8,-,-,74.3,-,73.3,116.8,-,-,73.3
Viktor Hovland,47.9,47,"1,327.00",14,117,215.1,2,152,471.2,5,8,269.2,3,50,371.5,4,12,-,-,-,-,121,94.1,-,84.2,102,92.1,-,-,79.2,113.7,-,95.9,98,-,-,75.3,-,74.3,118.9,-,104,74.3
