Name,ADP,Total_Pts,Masters,PGA,US Open,Open
Scottie Scheffler,1,429.00,104.3,129.1,97.8,97.8
Rory McIlroy,2.2,369.40,89.8,111.2,84.2,84.2
Tommy Fleetwood,3.7,352.60,85.7,106.1,80.4,80.4
Jon Rahm,4.6,341.80,83.1,102.9,77.9,77.9
Xander Schauffele,5.1,338.60,82.3,101.9,77.2,77.2
Bryson DeChambeau,5.7,329.90,80.2,99.3,75.2,75.2
Ludvig Aberg,8.2,309.30,75.2,93.1,70.5,70.5
Hideki Matsuyama,8.9,330.90,80.5,99.6,75.4,75.4
Russell Henley,8.9,336.00,81.7,101.1,76.6,76.6
Robert MacIntyre,10.2,328.00,79.7,98.7,74.8,74.8
Viktor Hovland,11.4,312.40,76,94,71.2,71.2
Cameron Young,12.3,317.10,77.1,95.4,72.3,72.3
Brooks Koepka,14,264.50,64.3,79.6,60.3,60.3
Matt Fitzpatrick,15.2,324.10,78.8,97.5,73.9,73.9
Justin Rose,16,316.90,77.1,95.4,72.2,72.2
Ben Griffin,16.2,336.00,81.7,101.1,76.6,76.6
J.J. Spaun,17.6,324.10,78.8,97.5,73.9,73.9
Patrick Cantlay,18.9,311.60,75.8,93.8,71,71
Chris Gotterup,19.8,317.90,77.3,95.6,72.5,72.5
Sam Burns,19.8,306.10,74.4,92.1,69.8,69.8
Tyrrell Hatton,20.4,297.50,72.4,89.5,67.8,67.8
Collin Morikawa,21.4,296.70,72.2,89.3,67.6,67.6
Si Woo Kim,22.3,245.80,77.4,95.8,-,72.6
Shane Lowry,24.9,310.30,75.5,93.4,70.7,70.7
Harris English,26,321.20,78.1,96.7,73.2,73.2
Justin Thomas,27,310.60,75.5,93.5,70.8,70.8
Corey Conners,28.1,296.60,72.1,89.3,67.6,67.6
Keegan Bradley,28.9,310.10,75.4,93.3,70.7,70.7
Patrick Reed,29.6,162.50,72.6,89.9,-,-
Maverick McNealy,29.7,317.70,77.3,95.6,72.4,72.4
Jordan Spieth,32.1,135.00,69.7,-,-,65.3
Sepp Straka,32.5,296.70,72.2,89.3,67.6,67.6
Harry Hall,34.3,203.30,70.7,-,66.3,66.3
Wyndham Clark,34.7,288.20,70.1,86.7,65.7,65.7
Jason Day,35.1,165.30,73.9,91.4,-,-
Akshay Bhatia,36.6,289.10,70.3,87,65.9,65.9
Ryan Gerard,38.1,165.30,73.9,91.4,-,-
Joaquin Niemann,39,152.00,-,86.5,65.5,-
Alex Noren,40.2,300.40,73,90.4,68.5,68.5
Cameron Smith,40.5,264.20,64.3,79.5,60.2,60.2
Brian Harman,42.3,288.60,70.2,86.8,65.8,65.8
Rasmus Hojgaard,42.6,231.20,72.8,90.1,-,68.3
Adam Scott,44.4,134.20,69.3,-,-,64.9
Nick Taylor,45,204.60,71.2,-,66.7,66.7
Aaron Rai,46.3,295.10,71.7,88.8,67.3,67.3
Min Woo Lee,46.4,154.70,69.1,85.6,-,-
Sungjae Im,48.3,279.80,68,84.2,63.8,63.8
Kurt Kitayama,48.7,157.30,70.3,87,-,-
Andrew Novak,50.8,285.90,69.5,86,65.2,65.2
Denny McCarthy,52.1,89.10,-,89.1,-,-
Sahith Theegala,54.1,0.00,-,-,-,-
Marco Penge,54.2,273.20,66.4,82.2,62.3,62.3
Ryan Fox,54.5,205.20,64.6,80,-,60.6
Daniel Berger,56.1,0.00,-,-,-,-
Taylor Pendrith,57.4,88.50,-,88.5,-,-
Pierceson Coody,57.5,0.00,-,-,-,-
Jacob Bridgeman,58.1,204.00,71,-,66.5,66.5
Rasmus Neergaard-Petersen,60,127.50,65.8,-,-,61.7
